,center,focus,best_FDC,size,depth
0,Chandra Lakshman,Prithviraj Sukumaran,-0.27981446260150744,9,1
1,Piee,Piee,2.295341625598589,16,1
2,Boris Karloff,Boris Karloff,-1.3834527861158346,6,1
3,Aaron Fronk,Cooper Johnson,1.5595827432557041,14,2
4,Vince DeGaetano,Cooper Johnson,1.5595827432557041,14,2
5,Riya Saira,Riya Saira,1.5595827432557041,14,1
6,Memphis Bleek,Damon Dash,-1.0155733449443922,7,1
7,Omillio Sparks,Damon Dash,0.8238238609128196,12,1
8,Neetu Singh,Neetu Singh,-1.3834527861158346,6,1
9,Pradhuman Singh,Piyush Mishra,-1.0155733449443922,7,1
10,Amy Groening,Matthew Kennedy,-0.6476939037729498,8,1
11,Jim Duggan,Jim Duggan,11.124448213713205,40,1
12,Jack Dishel,Jack Dishel,-1.3834527861158346,6,1
13,Adam Yauch,Adam Horovitz,0.08806497856993488,10,1
14,DJ Jamaika,Matheus Nachtergaele,25.434480809909697,516,5
15,Corinna Beilharz,Corinna Beilharz,0.08806497856993488,10,1
16,Ken Chu,Ken Chu,1.9274621844271465,15,1
17,Lemuel Pelayo,Angeli Bayani,3.398979949112916,19,1
18,Fabio Ide,Fabio Ide,3.398979949112916,19,1
19,Richard Wright,Nick Mason,0.8238238609128196,12,1
20,Carlos Lissardy,Carlos Lissardy,-1.0155733449443922,7,1
21,Fabiana Charlo,Carlos Lissardy,-1.0155733449443922,7,1
22,Ayu Raudah,Ayu Raudah,1.5595827432557041,14,1
23,Miel Bargman,Renzo Cozza,-1.7513322272872769,5,1
24,Renzo Cozza,Renzo Cozza,-1.7513322272872769,5,1
25,Aida Abdel Aziz,Khaled Abol Naga,-1.0155733449443922,7,1
26,Shenthy Feliziana,Shenthy Feliziana,5.60625659614157,25,1
27,Nelydia Senrose,Nelydia Senrose,1.1917033020842618,13,1
28,Nuremy Nadia,Yana Samsudin,4.870497713798685,23,1
29,Mio Yuki,Sota Fukushi,2.295341625598589,16,1
30,Tsuyoshi Ujiki,Tsuyoshi Ujiki,0.08806497856993488,10,1
31,Gustavo Haddad,Fábio Espósito,-2.282708186820667,19,2
32,Ahmed Zeyan,Ahmed Zeyan,-1.0155733449443922,7,1
33,John Scherer,Martin Jarvis,0.4559444197413772,11,2
34,Martin Jarvis,Martin Jarvis,0.4559444197413772,11,1
35,Dean Roland,David Gilmour,4.263219511133187,76,4
36,Ed Roland,David Gilmour,4.263219511133187,76,4
37,Ross Childress,David Gilmour,4.263219511133187,76,5
38,Will Turpin,David Gilmour,4.263219511133187,76,4
39,Sean Leary,Leo Houlding,-0.6476939037729498,8,1
40,Mario Roche,Mario Roche,4.134738831455801,21,1
41,Mickey Hardt,Mickey Hardt,5.238377154970127,24,1
42,Salva Reina,Antonio de la Torre,0.08806497856993488,10,1
43,Ken Anderson,Ken Anderson,8.549292125513109,33,1
44,Pamela Flores,Pamela Flores,-1.3834527861158346,6,1
45,Luciana Acuña,Luciana Acuña,-1.7513322272872769,5,1
46,Merja Larivaara,Merja Larivaara,-0.6476939037729498,8,1
47,David Bryan,Jon Bon Jovi,0.08806497856993488,10,1
48,Richie Sambora,Jon Bon Jovi,0.08806497856993488,10,1
49,Hunter S. Thompson,Hunter S. Thompson,-0.6476939037729498,8,1
50,Nichole Bagby,Nichole Bagby,-1.0155733449443922,7,1
51,Chase Fein,Chase Fein,-1.3834527861158346,6,1
52,Noel Thurman,Noel Thurman,4.502618272627243,22,1
53,Elisabeth Trissenaar,Elisabeth Trissenaar,5.974136037313012,26,1
54,Christine Anglio,Christine Anglio,-1.0155733449443922,7,1
55,Corinne Puget,Christine Anglio,-1.0155733449443922,7,1
56,Jean Paulo Campos,Jean Paulo Campos,-1.3834527861158346,6,1
57,Ioana Anastasia Anton,Ioana Anastasia Anton,-1.3834527861158346,6,1
58,Rimma Markova,Rimma Markova,-1.0155733449443922,7,1
59,Shabnam Darvish,Hamed Behdad,-1.7513322272872769,5,1
60,Alireza Aghakhani,Ali Mosaffa,-1.7513322272872769,5,1
61,Dan Snow,Dan Snow,-1.0155733449443922,7,1
62,Nick Hewitt,Matthew Sweet,0.465877234930967,34,3
63,Kate Mansi,Kate Mansi,3.7668593902843583,20,1
64,Tom Ainsley,Tom Ainsley,0.08806497856993488,10,1
65,Gagan Singh Sethi,Gagan Singh Sethi,-0.27981446260150744,9,1
66,Nitin Goel,Gagan Singh Sethi,-0.27981446260150744,9,2
67,Allison Wolfe,Kathleen Hanna,-1.7513322272872769,5,1
68,Lila Downs,Lila Downs,-0.6476939037729498,8,1
69,Liu Mintao,Sun Min,-0.6476939037729498,8,1
70,Na Renhua,Na Renhua,-0.6476939037729498,8,1
71,Vijay Raghavendra,Vijay Raghavendra,-1.0155733449443922,7,1
72,Jeanette Capocci,Jojje Jönsson,-1.0155733449443922,7,1
73,Jacqueline Ramel,Joel Kinnaman,-0.27981446260150744,9,1
74,Louis Klamroth,Peter Lohmeyer,-1.0155733449443922,7,1
75,Nello Mascia,Toni Servillo,-1.0155733449443922,7,1
76,Hanna Sjögren,Jenny Lampa,-1.7513322272872769,5,1
77,Bertram Engel,Rufus Beck,-1.0155733449443922,7,1
78,John Conor Brooke,Michael Nathanson,0.8238238609128196,12,1
79,Mamrie Hart,Grace Helbig,-1.0155733449443922,7,1
80,Julia Schneider,Julia Schneider,-1.0155733449443922,7,1
81,Landy Cannon,Julia Schneider,-1.0155733449443922,7,1
82,Hecni Valle,Hecni Valle,-2.119211668458719,4,1
83,Nick Prosser,Nick Prosser,0.4559444197413772,11,1
84,Audrey Fang,Audrey Fang,2.295341625598589,16,1
85,Riley Monthey,Jim Thorburn,20.948890343254575,87,3
86,Elissa Knight,Ben Burtt,-1.0155733449443922,7,1
87,Robert Bear,Robert Milo Andrus,-1.7513322272872769,5,1
88,Matthew Pohlkamp,Matthew Pohlkamp,6.342015478484454,27,1
89,Joana Pais de Brito,Miguel Borges,4.485931349039708,113,4
90,Liam Payne,Louis Tomlinson,-0.6476939037729498,8,1
91,Niall Horan,Louis Tomlinson,2.295341625598589,16,1
